Designator,Mid X,Mid Y,Rotation,Layer
C1,139.992,-74.889,0.0,top
C2,142.926,-70.965,90.0,top
C3,90.473,-117.983,270.0,top
C4,104.697,-125.603,0.0,top
C5,92.649,-91.059,0.0,top
C6,82.472,-92.075,0.0,top
C7,82.357,-88.519,0.0,top
C8,104.206,-122.174,180.0,top
D1,93.5265,-113.1345,90.0,top
J1,81.661,-115.824,270.0,top
J2,141.656,-78.421,180.0,top
J4,87.376,-126.492,0.0,top
J5,82.296,-103.241,180.0,top
L1,142.291,-74.1015,90.0,top
L2,97.409,-125.73,0.0,top
Q1,124.2845,-72.796,0.0,top
R1,124.194,-70.063,0.0,top
R10,87.886,-118.11,270.0,top
R2,92.138,-122.047,270.0,top
R3,140.3625,-71.587,180.0,top
R8,92.393,-89.154,0.0,top
R9,88.265,-114.556,0.0,top
S1,87.63,-91.567,90.0,top
S2,98.298,-91.567,90.0,top
U1,132.588,-71.628,0.0,top
U2,90.998,-124.98,0.0,top
U3,86.632,-77.116,90.0,top
U4,112.268,-76.327,0.0,top
